id,grid_solution,steps
lgp-test-5x6-16,"{""header"": [""House"", ""Each person has a unique name"", ""The people are of nationalities"", ""People have unique favorite book genres"", ""Everyone has something unique for lunch"", ""Each person has a favorite color"", ""The people keep unique animals""], ""rows"": [[""1"", ""bob"", ""german"", ""mystery"", ""grilled cheese"", ""yellow"", ""dog""], [""2"", ""eric"", ""norwegian"", ""fantasy"", ""stew"", ""blue"", ""fish""], [""3"", ""peter"", ""dane"", ""science fiction"", ""spaghetti"", ""green"", ""cat""], [""4"", ""arnold"", ""swede"", ""biography"", ""stir fry"", ""red"", ""bird""], [""5"", ""alice"", ""brit"", ""romance"", ""pizza"", ""white"", ""horse""]]}",5168
lgp-test-4x4-27,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has an occupation"", ""People have unique favorite book genres"", ""People use unique phone models""], ""rows"": [[""1"", ""alice"", ""engineer"", ""romance"", ""google pixel 6""], [""2"", ""peter"", ""artist"", ""fantasy"", ""samsung galaxy s21""], [""3"", ""eric"", ""teacher"", ""science fiction"", ""iphone 13""], [""4"", ""arnold"", ""doctor"", ""mystery"", ""oneplus 9""]]}",66
lgp-test-6x4-15,,1103
lgp-test-6x5-2,,2876
lgp-test-2x2-33,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet""], ""rows"": [[""1"", ""eric"", ""cat""], [""2"", ""arnold"", ""dog""]]}",5
lgp-test-4x4-3,"{""header"": [""House"", ""Each person has a unique name"", ""The mothers' names in different houses are unique"", ""Each person has a unique birthday month"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""peter"", ""aniya"", ""feb"", ""colonial""], [""2"", ""arnold"", ""holly"", ""april"", ""ranch""], [""3"", ""alice"", ""kailyn"", ""jan"", ""craftsman""], [""4"", ""eric"", ""janelle"", ""sept"", ""victorian""]]}",57
lgp-test-2x4-5,"{""header"": [""House"", ""Each person has a unique name"", ""They all have a unique favorite flower"", ""Each person has a favorite color"", ""People have unique heights""], ""rows"": [[""1"", ""eric"", ""daffodils"", ""red"", ""short""], [""2"", ""arnold"", ""carnations"", ""yellow"", ""very short""]]}",10
lgp-test-5x5-30,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Each person has a favorite color"", ""Each person prefers a unique type of vacation"", ""People use unique phone models""], ""rows"": [[""1"", ""arnold"", ""bachelor"", ""blue"", ""camping"", ""samsung galaxy s21""], [""2"", ""eric"", ""high school"", ""green"", ""beach"", ""huawei p50""], [""3"", ""peter"", ""associate"", ""white"", ""city"", ""iphone 13""], [""4"", ""alice"", ""master"", ""red"", ""cruise"", ""google pixel 6""], [""5"", ""bob"", ""doctorate"", ""yellow"", ""mountain"", ""oneplus 9""]]}",1051
lgp-test-3x5-34,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""People use unique phone models"", ""People have unique favorite music genres"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""peter"", ""yellow"", ""google pixel 6"", ""pop"", ""high school""], [""2"", ""eric"", ""white"", ""samsung galaxy s21"", ""rock"", ""associate""], [""3"", ""arnold"", ""red"", ""iphone 13"", ""classical"", ""bachelor""]]}",18
lgp-test-4x5-3,"{""header"": [""House"", ""Each person has a unique name"", ""The mothers' names in different houses are unique"", ""People have unique favorite book genres"", ""Each person has a favorite color"", ""Each person prefers a unique type of vacation""], ""rows"": [[""1"", ""alice"", ""holly"", ""science fiction"", ""red"", ""mountain""], [""2"", ""peter"", ""aniya"", ""romance"", ""yellow"", ""city""], [""3"", ""arnold"", ""janelle"", ""fantasy"", ""green"", ""cruise""], [""4"", ""eric"", ""kailyn"", ""mystery"", ""white"", ""beach""]]}",52
lgp-test-2x6-24,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet"", ""The people are of nationalities"", ""Each person has an occupation"", ""People have unique favorite sports"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""eric"", ""cat"", ""dane"", ""engineer"", ""basketball"", ""pall mall""], [""2"", ""arnold"", ""dog"", ""brit"", ""doctor"", ""soccer"", ""prince""]]}",14
lgp-test-6x2-9,"{""header"": [""House"", ""Each person has a unique name"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""peter"", ""iris""], [""2"", ""carol"", ""lilies""], [""3"", ""arnold"", ""carnations""], [""4"", ""alice"", ""roses""], [""5"", ""bob"", ""daffodils""], [""6"", ""eric"", ""tulips""]]}",265
lgp-test-4x2-18,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color""], ""rows"": [[""1"", ""alice"", ""red""], [""2"", ""eric"", ""white""], [""3"", ""peter"", ""yellow""], [""4"", ""arnold"", ""green""]]}",14
lgp-test-5x2-15,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports""], ""rows"": [[""1"", ""eric"", ""soccer""], [""2"", ""arnold"", ""basketball""], [""3"", ""bob"", ""swimming""], [""4"", ""alice"", ""tennis""], [""5"", ""peter"", ""baseball""]]}",61
